epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.09811,4.37205,0.02844,0.16588,3.84961,7e-05,7e-05,7e-05
2,2.21577,4.09531,0.03791,0.23934,3.6748,0.000139653,0.000139653,0.000139653
3,3.36578,3.77366,0.11611,0.37204,3.49365,0.000206409,0.000206409,0.000206409
4,4.51284,3.52636,0.14929,0.45972,3.11768,0.000235015,0.000235015,0.000235015
5,5.66567,3.26926,0.24645,0.62559,2.85156,0.00023002,0.00023002,0.00023002
6,6.77947,2.94326,0.30095,0.69905,2.42163,0.000225025,0.000225025,0.000225025
7,7.94914,2.80443,0.3673,0.79621,2.06958,0.00022003,0.00022003,0.00022003
8,9.05857,2.65535,0.43839,0.82464,1.82764,0.000215035,0.000215035,0.000215035
9,10.1892,2.41327,0.5,0.8981,1.63745,0.00021004,0.00021004,0.00021004
10,11.3358,2.18069,0.50237,0.90758,1.50342,0.000205045,0.000205045,0.000205045
11,12.5512,2.13033,0.57583,0.90758,1.35449,0.00020005,0.00020005,0.00020005
12,13.8066,2.04743,0.59242,0.92417,1.23584,0.000195055,0.000195055,0.000195055
13,15.0168,1.95268,0.63033,0.94787,1.17871,0.00019006,0.00019006,0.00019006
14,16.2457,1.79597,0.6564,0.94787,1.05359,0.000185065,0.000185065,0.000185065
15,17.4432,1.72225,0.68009,0.96445,0.8822,0.00018007,0.00018007,0.00018007
16,18.6275,1.67209,0.74645,0.96445,0.87366,0.000175075,0.000175075,0.000175075
17,19.7482,1.6296,0.74171,0.96445,0.79651,0.00017008,0.00017008,0.00017008
18,20.8581,1.56769,0.76303,0.96919,0.73486,0.000165085,0.000165085,0.000165085
19,21.9935,1.54694,0.7654,0.96919,0.69678,0.00016009,0.00016009,0.00016009
20,23.1227,1.42199,0.79858,0.96919,0.65149,0.000155095,0.000155095,0.000155095
21,24.2658,1.38772,0.80569,0.97393,0.68958,0.0001501,0.0001501,0.0001501
22,25.4078,1.4071,0.81754,0.97867,0.53906,0.000145105,0.000145105,0.000145105
23,26.5963,1.36386,0.77251,0.97867,0.67712,0.00014011,0.00014011,0.00014011
24,27.7392,1.33064,0.82701,0.97156,0.58716,0.000135115,0.000135115,0.000135115
25,28.886,1.30108,0.82701,0.9763,0.5351,0.00013012,0.00013012,0.00013012
26,30.0395,1.24153,0.8436,0.9763,0.48175,0.000125125,0.000125125,0.000125125
27,31.1761,1.20458,0.84123,0.9763,0.48364,0.00012013,0.00012013,0.00012013
28,32.3274,1.25294,0.85071,0.98104,0.48633,0.000115135,0.000115135,0.000115135
29,33.4432,1.17045,0.84123,0.9763,0.48584,0.00011014,0.00011014,0.00011014
30,34.5819,1.22597,0.84597,0.9763,0.4881,0.000105145,0.000105145,0.000105145
31,35.7196,1.17058,0.83412,0.9763,0.46051,0.00010015,0.00010015,0.00010015
32,36.8595,1.11279,0.85545,0.9763,0.53961,9.5155e-05,9.5155e-05,9.5155e-05
33,38.0172,1.11064,0.86019,0.9763,0.47412,9.016e-05,9.016e-05,9.016e-05
34,39.1859,1.0806,0.87441,0.98104,0.49951,8.5165e-05,8.5165e-05,8.5165e-05
35,40.3492,1.05714,0.85782,0.97867,0.41272,8.017e-05,8.017e-05,8.017e-05
36,41.5265,1.06881,0.85545,0.97867,0.47345,7.5175e-05,7.5175e-05,7.5175e-05
37,42.7124,1.07583,0.8673,0.98104,0.44318,7.018e-05,7.018e-05,7.018e-05
38,43.9009,1.02605,0.86967,0.98104,0.4408,6.5185e-05,6.5185e-05,6.5185e-05
39,45.014,0.9946,0.8673,0.98341,0.41742,6.019e-05,6.019e-05,6.019e-05
40,46.1259,1.02738,0.87441,0.97867,0.39322,5.5195e-05,5.5195e-05,5.5195e-05
41,76.6047,0.99596,0.87441,0.98104,0.43781,5.02e-05,5.02e-05,5.02e-05
42,77.7216,0.99219,0.86019,0.98578,0.40613,4.5205e-05,4.5205e-05,4.5205e-05
43,78.8395,0.96158,0.86493,0.98341,0.42566,4.021e-05,4.021e-05,4.021e-05
44,79.9183,1.02222,0.87915,0.98578,0.38763,3.5215e-05,3.5215e-05,3.5215e-05
45,81.0564,0.96594,0.87441,0.98578,0.383,3.022e-05,3.022e-05,3.022e-05
46,82.2013,0.96551,0.87915,0.98815,0.38129,2.5225e-05,2.5225e-05,2.5225e-05
47,83.3445,0.95101,0.87915,0.98578,0.35434,2.023e-05,2.023e-05,2.023e-05
48,84.4908,0.9725,0.88152,0.98815,0.44257,1.5235e-05,1.5235e-05,1.5235e-05
49,85.6457,0.98748,0.88863,0.98578,0.32884,1.024e-05,1.024e-05,1.024e-05
50,86.7971,0.97533,0.88389,0.98578,0.34442,5.245e-06,5.245e-06,5.245e-06
